ref,topic,question,tans,ans1,ans2,ans3,hint,diagram
ale0002,Alertness,Whats should you do before making a U-turn?,look over your shoulder for a final check,choose a higher gear,check road marking to make sure U-turns are permitted,give an arm signal as well as using your indicators,,FALSE
ale0003,Alertness,What should you do as you approach this bridge?,slow down,change gear,keep to 30 mph,move to the right,,TRUE
ale0004,Alertness,Where should you avoid overtaking,before a dip in the road,on a 30 mph road,in a one-way street,just after a bend,,FALSE
ale0005,Alertness,What does this curved arrow marking mean?,overtaking traffic should keep to the left,the road has a camber to the left,lorries should take the next road on the left to avoid a weight limit,road ahead bends to left,,TRUE
ale0006,Alertness,What should you do if your phone rings while driving?,wait to answer it until you have stopped in a safe place,answer it immediately,stop where you are,pull up on the nearest curb,,FALSE
ale0007,Alertness,What are these yellow lines painted across the road for?,to help make you aware of your speed,help you choose the correct lane,help keep the correct seperation distance,tell you the distance to the roundabout,,TRUE
ale0008,Alertness,What should you do when you're approaching traffic lights that have been green for a while?,be ready to stop,accelerate hard,maintain your speed,brake hard,,FALSE
ale0009,Alertness,What should you do before slowing down or stopping your vehicle?,use the mirrors,sound the horn,select a higher gear,flash the headlights,,FALSE
ale0010,Alertness,You're following a large vehicle. Why should you stay a safe distance behind it?,you'll give the driver a chance to see you in their mirrors,you'll keep out the wind more,you'll help the large vehicle stop easier,you'll be able to corner more quickly,,FALSE
ale0011,Alertness,Why should you use your mirrors when you see a hazard ahead?,to assess how your actions will affect drivers behind you,you'll need to accelerate out of danger,you'll need to brake and stop sharply,to check what's happening on the road ahead,,FALSE
ale0012,Alertness,You're waiting to turn right at the end of a road. What should you do if your view is obstructed by parked vehicles?,stop then move forward slowly and carefully for a clearer view,move quickly to where you can see so you only block traffic in one direction,wait for a pedestrian to let you know when it's safe,turn around and find another junction,,FALSE
ale0013,Alertness,Why can things hanging from your mirror be a hazard?,your view may be obstructed,your sun visor might get tangled,your radio may be affected,your windscreen may mist up,,FALSE
ale0014,Alertness,What should you do on a long journey if you start to feel sleepy?,find a safe place to stop and rest,drive faster so you finish the journey quicker,play loud music,stop and rest on the hard shoulder,,FALSE
ale0015,Alertness,Why should you switch on your headlights when it starts to get dark?,so others can more easily see you,to blend in with other drivers,because the streetlights are lit,make your dials easier to see,,FALSE
ale0016,Alertness,What will most likely distract you while driving?,using a mobile phone,windscreen wipers,using the demisters,using the mirrors,,FALSE
ale0017,Alertness,When may you use your mobile phone while driving?,when you've safely parked,when you're receiving a call,when driving less than 30 mph,while in an automatic car,,FALSE
saf0018,Safety Margins,How do you ensure that your brakes are working properly after passing through flood water?,go slow and gently apply the brakes,avoid using the brakes for a while,accelerate to a high speed for a short amount of time,stop for at least half an hour until they are dry,,FALSE
saf0019,Safety Margins,When conditions are icy what part of the vehicle should you clear of ice and snow?,the windows,the bumber,the aerial,the roof,,FALSE
saf0020,Safety Margins,What light should you use when you're driving on a wet motorway and vehicles are throwing up surface spray?,dipped headlights,rear fog lights,sidelights,hazard warning lights,,FALSE
saf0021,Safety Margins,"You're following a vehicle on a wet road. You stay a safe distance behind it, what should you do if a car over takes into the gap you've left?",drop back and regain a safe distance,try to overtake safely,flash your headlights to warn the driver,stay close to the vehicle until it moves on,,FALSE
saf0022,Safety Margins,"You're following other vehicles in fog, you have your dipped headlights on, what else can you do to reduce the chances of a collision?",keep a safe distance from the car in front,keep up with the faster vehicles,use main beams instead,keep close to the vehicle in front,,FALSE
saf0023,Safety Margins,You approach a sharp bend in freezing conditions what should you do?,slow down gently,firmly use your footbrake,apply your parking brake,coast into the bend,,FALSE
saf0024,Safety Margins,How do you use your vehicle's engine as a brake?,change to a lower gear,change to a higher gear,selecting reverse,selecting neutral,,FALSE
saf0025,Safety Margins,What can happen when you coat for a long period of time? (driving in netural),reduction in control,easier steering,improvement in control,increased fuel consumption,,FALSE
saf0026,Safety Margins,What should you do when parking your car facing down hill?,engage parking brake and steer towards the kerb,engage parking brake and steer away from the kerb,park close to the bumper of another car,park with 2 wheels on the kerb,,FALSE
saf0027,Safety Margins,What would indicate you're driving on an icy road?,less tyre noise,less wind noise,less transmission noise,less engine noise,,FALSE
saf0028,Safety Margins,What should you do when you approach a road hump in a built-up area?,check your mirror and slow down,stop and check both pavements,wait for any pedestrians to cross,move to the left-hand side of the road,,TRUE
saf0029,Safety Margins,"Driving on an open road in dry weather, what distance should you keep from the vehicle in front of you?",2 second time gap,4 second time gap,one car length,2 car lengths,,FALSE
saf0030,Safety Margins,Where is your vehicle most likely to be affected by side winds?,on an open stretch of road,on narrow country lanes,on busy streets in a built up area,"on a long, straight road",,FALSE
saf0031,Safety Margins,Why should you keep to the left as you approach a right-hand bend?,to improve you view of the road,let faster traffic overtake,be positioned safely if you skid,overcome the effect of the road's slope,,TRUE
saf0032,Safety Margins,"You're travelling on the motorway, how can you lower the risk of a collision when the vehicle behind is following too closely?",increase your distance to the vehicle in front,brake sharply,switch on your hazard warning lights,move onto the hard shoulder and stop,,FALSE
saf0033,Safety Margins,What requires extra care when you're driving or riding in windy conditions?,passing pedal cyclists,turning into a narrow road,moving off a hill,using the brakes,,FALSE
saf0034,Safety Margins,You're about to go down a steep hill. What should you do to control the speed of your vehicle?,select a low gear and use the brakes,select a low gear but don't use the brakes,select a high gear and use the brakes,select a high gear but don't use the brakes,,FALSE
saf0035,Safety Margins,What is the main cause of skidding?,the driver,the weather,the vehicle,the road,,FALSE
saf0036,Safety Margins,What should you do when you're using a contraflow system?,choose an appropriate lane in good time,switch lanes to make better progress,increase speed to get through the contraflow more quickly,follow other motorists closely to avoid long queues,,FALSE
saf0037,Safety Margins,"You're driving along a country road, and see this sign. What should you do after dealing safely with this hazard?",test your brakes,accelerate quickly,switch on your hazard warning lights,check tyre pressure,,TRUE
